loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,annual_inc,issue_d,loan_status,monthly_income,emp_industry,age
6000, 36 months,7.21,185.84,A,A3,Mechanic,2 years,90000,Oct-18,FALSE,7500,other,61
20000, 36 months,6.11,609.44,A,A1,Correctional Officer,10+ years,95000,Jul-18,FALSE,7916.666666666667,other,36
30000, 36 months,16.02,1055.01,C,C5,Management Analyst,10+ years,115000,Jan-18,FALSE,9583.333333333334,other,54
27600, 60 months,30.65,904.01,F,F4,Sr. Medical Office Coordinator ,10+ years,53600,Jun-18,TRUE,4466.666666666667,other,31
18000, 60 months,15.02,428.41,C,C3,General manager,2 years,98000,Aug-18,FALSE,8166.666666666667,other,36
6000, 36 months,11.05,196.58,B,B4,OutPatient Service Rep,7 years,45000,May-18,FALSE,3750,other,29
30000, 60 months,9.92,636.24,B,B2,other,,55000,Mar-18,TRUE,4583.333333333333,other,42
40000, 60 months,30.65,1310.16,F,F4,LO,9 years,170000,Jun-18,TRUE,14166.666666666666,other,59
20875, 60 months,20.89,563.45,D,D4,other,,95534,Nov-18,FALSE,7961.166666666667,other,51
4400, 36 months,7.56,136.99,A,A3,Warehouse Employee ,1 year,35000,Dec-18,FALSE,2916.6666666666665,other,23
7200, 36 months,12.73,241.67,B,B5,Assistant Brand Manger,1 year,60000,Jul-18,TRUE,5000,other,50
10000, 60 months,15.49,240.48,C,C4,other,,86000,May-18,TRUE,7166.666666666667,other,47
20000, 60 months,25.81,596.57,E,E4,Accountant,2 years,36000,May-18,FALSE,3000,other,22
16000, 36 months,6.11,487.55,A,A1,Manager,1 year,118000,Oct-18,FALSE,9833.333333333334,other,48
17000, 36 months,8.46,536.34,A,A5,Truck Dtiver,8 years,55000,Aug-18,FALSE,4583.333333333333,other,58
8000, 36 months,17.97,289.1,D,D1,maintenance,3 years,35000,Jul-18,FALSE,2916.6666666666665,other,23
10000, 36 months,8.46,315.5,A,A5,"Director, Office of Research Development",6 years,123000,Sep-18,FALSE,10250,other,49
14000, 36 months,14.07,478.97,C,C3,Interior designer,2 years,62000,Apr-18,FALSE,5166.666666666667,other,35
40000, 36 months,11.55,1320,B,B4,Correctional Sergeant,10+ years,94000,Sep-18,FALSE,7833.333333333333,other,55
18000, 36 months,11.55,594,B,B4,other,,24507.6,Aug-18,TRUE,2042.3,other,22
35000, 60 months,10.9,759.25,B,B4,CEO/owner,4 years,210000,Apr-18,TRUE,17500,other,49
32825, 36 months,9.92,1057.94,B,B2,President,10+ years,700000,Mar-18,FALSE,58333.333333333336,other,47
14000, 60 months,20.39,373.96,D,D4,teacher,9 years,75050,Mar-18,TRUE,6254.166666666667,other,51
10000, 36 months,11.99,332.1,B,B5,RN,10+ years,85000,Jan-18,FALSE,7083.333333333333,other,39
6000, 36 months,14.07,205.27,C,C3,Personal care assistant ,3 years,45000,Mar-18,FALSE,3750,other,27
25000, 60 months,9.92,530.2,B,B2,REALTOR SPECIALIST ,10+ years,78000,Mar-18,FALSE,6500,other,57
30000, 60 months,7.34,598.87,A,A4,Pharmacist,10+ years,108000,May-18,TRUE,9000,other,50
11000, 36 months,15.05,381.59,C,C4,Senior Correctional Officer,10+ years,83000,Jan-18,TRUE,6916.666666666667,other,47
16000, 36 months,23.88,626.72,E,E2,Plumber,10+ years,100000,Jan-18,TRUE,8333.333333333334,other,39
3000, 36 months,22.35,115.12,D,D5,supervisor,2 years,33000,Jul-18,FALSE,2750,other,27
6500, 36 months,10.08,209.99,B,B1,Supervisor,5 years,31680,Oct-18,FALSE,2640,other,24
28700, 36 months,12.13,955.04,B,B5,Chief Performance Officer,6 years,70000,Jun-18,FALSE,5833.333333333333,other,58
10000, 36 months,19.42,368.69,D,D3,Office manager,1 year,33000,Apr-18,FALSE,2750,other,26
18000, 60 months,12.62,406.07,C,C1,Manager,10+ years,140000,Jan-18,FALSE,11666.666666666666,other,50
20000, 36 months,9.43,640.01,B,B1,commercial truck driver,3 years,70000,Apr-18,FALSE,5833.333333333333,other,56
9000, 36 months,11.98,298.85,B,B5,dental hygienists ,3 years,40000,May-18,FALSE,3333.3333333333335,other,26
10000, 36 months,11.98,332.05,B,B5,mail carrier ,1 year,45000,Apr-18,TRUE,3750,other,28
11200, 60 months,12.13,249.88,B,B5,Field Technician,6 years,75000,Jun-18,FALSE,6250,other,42
5000, 36 months,8.46,157.75,A,A5,Deli clerk,4 years,24040,Sep-18,FALSE,2003.3333333333333,other,23
12000, 60 months,26.77,364.78,E,E5,Embarkation Coordinator,4 years,45000,Mar-18,FALSE,3750,other,29
4800, 36 months,12.61,160.84,C,C1,Sales Manager,3 years,56000,Feb-18,FALSE,4666.666666666667,other,55
10000, 36 months,12.98,336.85,B,B5,Child Care Center Director,2 years,95000,Dec-18,FALSE,7916.666666666667,other,56
18000, 60 months,21.85,495.61,D,D5,Service Manager ,10+ years,46000,Jun-18,FALSE,3833.3333333333335,other,30
12000, 36 months,6.46,367.57,A,A1,registered nurse ,10+ years,75000,Nov-18,FALSE,6250,other,58
6000, 36 months,13.59,203.88,C,C2,other,,39000,Jan-18,FALSE,3250,other,24
15000, 36 months,16.14,528.4,C,C4,other,,46800,Oct-18,FALSE,3900,other,29
10800, 36 months,19.92,400.93,D,D3,Custodian,10+ years,55000,Oct-18,FALSE,4583.333333333333,other,48
5000, 36 months,6.08,152.3,A,A2,Attorney,< 1 year,75000,Feb-18,FALSE,6250,other,58
7500, 36 months,18.06,271.37,D,D2,Justice Protective Service Officer,6 years,103000,Feb-18,FALSE,8583.333333333334,other,34
21325, 36 months,10.72,695.33,B,B2,Fire Marshal,10+ years,55000,Nov-18,FALSE,4583.333333333333,other,35
5000, 36 months,6.11,152.36,A,A1,Lead,10+ years,40000,Oct-18,FALSE,3333.3333333333335,other,26
25000, 60 months,15.02,595.02,C,C3,Agriculture ,< 1 year,24000,Aug-18,FALSE,2000,other,21
20000, 60 months,25.82,596.68,E,E4,Owner,4 years,60000,Jan-18,TRUE,5000,other,53
10000, 60 months,17.47,251.06,D,D1,other,,72000,Mar-18,TRUE,6000,other,56
10000, 36 months,6.71,307.45,A,A3,Manager,5 years,61000,Apr-18,FALSE,5083.333333333333,other,42
16000, 36 months,8.19,502.79,A,A4,other,,52000,Nov-18,FALSE,4333.333333333333,other,34
10000, 36 months,12.62,335.12,C,C1,Clerk,10+ years,85000,Feb-18,FALSE,7083.333333333333,other,54
20000, 36 months,6.07,609.08,A,A2,Sales,2 years,52000,May-18,FALSE,4333.333333333333,other,32
10875, 60 months,16.02,264.58,C,C5,Human Resources,10+ years,50000,Feb-18,TRUE,4166.666666666667,other,31
22000, 36 months,6.72,676.49,A,A3,other,,55000,Jan-18,TRUE,4583.333333333333,other,45
8000, 36 months,9.43,256.01,B,B1,Process Engineer,1 year,60500,Apr-18,FALSE,5041.666666666667,other,48
10500, 60 months,10.9,227.78,B,B4,Customer Service Rep,10+ years,45000,Jun-18,TRUE,3750,other,28
7500, 36 months,13.58,254.81,C,C2,other,,11000,Apr-18,TRUE,916.6666666666666,other,19
16000, 60 months,18.45,410.23,D,D2,Senior Project Coordinator ,2 years,56000,Jun-18,TRUE,4666.666666666667,other,58
10000, 60 months,18.06,254.27,D,D2,Senior Project Manager,1 year,73000,Jan-18,FALSE,6083.333333333333,other,37
7500, 36 months,10.07,242.26,B,B2,Teacher,9 years,74000,Jun-18,FALSE,6166.666666666667,other,44
20000, 60 months,21.85,550.68,D,D5,Manager Of IT Software Development,8 years,99800,Mar-18,TRUE,8316.666666666666,other,55
15000, 60 months,10.42,321.82,B,B3,E-6,8 years,65000,Feb-18,TRUE,5416.666666666667,other,36
6000, 36 months,12.61,201.04,C,C1,Lead paiter,6 years,83000,Apr-18,FALSE,6916.666666666667,other,41
11000, 60 months,11.8,243.58,B,B4,Assosicate,3 years,42000,Dec-18,FALSE,3500,other,28
6000, 36 months,11.55,198,B,B4,Truck Driver,5 years,65000,Jul-18,FALSE,5416.666666666667,other,58
18000, 60 months,16.01,437.83,C,C5,Maintenance technician ,4 years,71000,Mar-18,FALSE,5916.666666666667,other,46
27225, 36 months,18.94,997.14,D,D2,other,,90000,Oct-18,TRUE,7500,other,50
20000, 60 months,22.35,556.37,D,D5,Machine operator,5 years,54000,Oct-18,FALSE,4500,other,34
5000, 36 months,16.46,176.93,C,C5,Senior Billing Analyst,1 year,61000,Jun-18,TRUE,5083.333333333333,other,36
10275, 60 months,30.79,337.44,G,G1,Driver,4 years,65000,May-18,FALSE,5416.666666666667,other,47
40000, 36 months,10.72,1304.26,B,B2,Storeroom Clerk,10+ years,65000,Dec-18,FALSE,5416.666666666667,other,59
15000, 60 months,16.14,365.89,C,C4,House Cleaner,2 years,30000,Jul-18,FALSE,2500,other,22
40000, 60 months,10.42,858.18,B,B3,sales analyst,5 years,95000,Jan-18,FALSE,7916.666666666667,other,55
12000, 60 months,14.03,279.41,C,C2,contractor,10+ years,35000,Jun-18,FALSE,2916.6666666666665,other,22
7000, 36 months,11.98,232.44,B,B5,Registered Nurse,10+ years,104000,Apr-18,FALSE,8666.666666666666,other,32
3500, 36 months,7.21,108.41,A,A3,Aua,10+ years,60000,Aug-18,FALSE,5000,other,47
33200, 60 months,21.85,914.12,D,D5,maint. eng,10+ years,103000,Mar-18,TRUE,8583.333333333334,other,50
26725, 36 months,15.02,926.7,C,C3,other,,78000,Jul-18,TRUE,6500,other,59
11000, 36 months,19.92,408.36,D,D3,other,1 year,11500,Sep-18,FALSE,958.3333333333334,other,18
8000, 36 months,6.11,243.78,A,A1,Transportation,9 years,35000,Jul-18,FALSE,2916.6666666666665,other,24
6300, 36 months,27.27,258.12,E,E5,other,< 1 year,56000,Oct-18,FALSE,4666.666666666667,other,34
40000, 60 months,13.58,922.05,C,C2,Mortgage Banker,7 years,300000,Mar-18,FALSE,25000,other,58
14400, 36 months,16.14,507.26,C,C4,Court officer,10+ years,79000,Jul-18,TRUE,6583.333333333333,other,43
16000, 60 months,14.08,372.96,C,C3,Property Administrator,10+ years,95000,Feb-18,TRUE,7916.666666666667,other,38
15000, 36 months,16.14,528.4,C,C4,other,,45000,Dec-18,FALSE,3750,other,27
35000, 60 months,10.07,744.86,B,B2,Manager Account Management,8 years,147000,Jun-18,FALSE,12250,other,58
4200, 36 months,17.97,151.78,D,D1,Administrative Assistant,8 years,52235,Sep-18,FALSE,4352.916666666667,other,33
5000, 36 months,6.11,152.36,A,A1,Server,< 1 year,72000,Sep-18,FALSE,6000,other,58
16000, 36 months,7.84,500.21,A,A4,Caregiver,2 years,53760,Aug-18,FALSE,4480,other,35
4200, 36 months,6.19,128.14,A,A2,Software Engineer in Test,4 years,90000,Jun-18,FALSE,7500,other,43
8000, 36 months,9.58,256.57,B,B1,Waiter,3 years,22000,May-18,TRUE,1833.3333333333333,other,21
13000, 36 months,16.01,457.11,C,C5,Senior Negotiator ,3 years,61000,Mar-18,TRUE,5083.333333333333,other,36
6000, 36 months,11.99,199.26,B,B5,other,,22000,Feb-18,TRUE,1833.3333333333333,other,22
40000, 36 months,5.32,1204.6,A,A1,Teacher,9 years,49343,Feb-18,FALSE,4111.916666666667,other,31
24000, 60 months,18.45,615.34,D,D2,Accountant,4 years,54500,Mar-18,FALSE,4541.666666666667,other,34
2800, 36 months,14.08,95.81,C,C3,Help Desk Rep. I,3 years,36000,Jan-18,FALSE,3000,other,25
33600, 60 months,16.91,833.43,C,C5,sales supervisor,9 years,160000,Nov-18,FALSE,13333.333333333334,other,37
28000, 36 months,15.04,971.18,C,C4,Nurse Practitioner ,1 year,118000,Apr-18,FALSE,9833.333333333334,other,61
16000, 60 months,10.08,340.59,B,B1,warehouse,< 1 year,45000,Nov-18,TRUE,3750,other,27
15800, 60 months,16.02,384.4,C,C5,Client Service Specialist,5 years,57500,Feb-18,FALSE,4791.666666666667,other,43
15000, 60 months,18.94,388.62,D,D2,Supervisor,8 years,40000,Dec-18,FALSE,3333.3333333333335,other,25
12400, 60 months,27.27,380.65,E,E5,other,< 1 year,12000,Aug-18,FALSE,1000,other,18
15000, 36 months,10.47,487.33,B,B2,other,,52000,Jul-18,FALSE,4333.333333333333,other,32
26500, 36 months,11.55,874.5,B,B4,Sales Specialist,10+ years,102000,Aug-18,FALSE,8500,other,56
16000, 36 months,12.62,536.18,C,C1,Software Engineer,10+ years,110000,Jan-18,FALSE,9166.666666666666,other,37
6000, 36 months,7.56,186.81,A,A3,other,,60000,Nov-18,FALSE,5000,other,56
32250, 60 months,10.9,699.59,B,B4,IT Helpdesk Engineer,< 1 year,45000,Apr-18,FALSE,3750,other,29
35000, 36 months,6.67,1075.43,A,A2,Net Manager,8 years,82282,Aug-18,FALSE,6856.833333333333,other,34
8000, 36 months,11.06,262.14,B,B3,Assistant Professor,10+ years,84000,Sep-18,FALSE,7000,other,60
10000, 60 months,20,264.94,D,D4,ASSOCIATE - OFFICE SUPPLIES,< 1 year,14000,Feb-18,TRUE,1166.6666666666667,other,18
6400, 36 months,6.71,196.77,A,A3,Construction  Superintendent ,10+ years,73000,Mar-18,FALSE,6083.333333333333,other,38
15700, 36 months,15.49,548.03,C,C4,Bookkeeper,10+ years,55000,May-18,TRUE,4583.333333333333,other,47
30000, 60 months,11.98,667.04,B,B5,Vice President of Marketing,2 years,83842,Mar-18,TRUE,6986.833333333333,other,54
12000, 60 months,12.62,270.71,C,C1,Civil engineer,10+ years,86000,Jan-18,FALSE,7166.666666666667,other,58
7000, 36 months,11.06,229.37,B,B3,Branch manager,4 years,52000,Aug-18,FALSE,4333.333333333333,other,33
10000, 36 months,10.33,324.23,B,B1,composit blade mechanic,10+ years,130000,Nov-18,FALSE,10833.333333333334,other,33
7000, 36 months,11.06,229.37,B,B3,Dept manager,1 year,47000,Oct-18,FALSE,3916.6666666666665,other,28
21000, 36 months,6.11,639.91,A,A1,implementation leader,10+ years,60000,Oct-18,FALSE,5000,other,58
15000, 36 months,7.56,467.01,A,A3,Assistant Professor,< 1 year,128000,Dec-18,FALSE,10666.666666666666,other,52
6000, 36 months,6.08,182.75,A,A2,Department Manager ,10+ years,45000,Feb-18,TRUE,3750,other,26
5400, 36 months,14.07,184.75,C,C3,Registered Nurse,1 year,62000,Mar-18,TRUE,5166.666666666667,other,49
2500, 36 months,10.72,81.52,B,B2,other,< 1 year,83000,Dec-18,FALSE,6916.666666666667,other,53
18150, 60 months,19.92,480.06,D,D3,Federal Tech,10+ years,78000,Sep-18,FALSE,6500,other,42
32400, 60 months,9.93,687.29,B,B2,Special Agent,10+ years,148000,Jan-18,FALSE,12333.333333333334,other,61
8000, 36 months,20,297.31,D,D4,officer,6 years,90000,Jan-18,FALSE,7500,other,52
7000, 36 months,10.33,226.96,B,B1,Registered Nurse,1 year,80000,Dec-18,FALSE,6666.666666666667,other,43
35000, 36 months,13.56,1188.76,C,C1,Librarian,4 years,84249.99,Nov-18,FALSE,7020.8325,other,50
12000, 36 months,6.07,365.45,A,A2,Software Engineer,2 years,60000,Apr-18,FALSE,5000,other,50
8000, 36 months,23.88,313.36,E,E2,Manager,7 years,43000,Jan-18,TRUE,3583.3333333333335,other,27
10600, 60 months,28.72,334.66,F,F1,BRANCH MANAGER,10+ years,74299,Feb-18,TRUE,6191.583333333333,other,45
15000, 36 months,20.89,564.28,D,D4,Owner,< 1 year,54000,Jul-18,TRUE,4500,other,33
10000, 60 months,20.39,267.12,D,D4,Realtor,10+ years,75000,Mar-18,TRUE,6250,other,48
6000, 36 months,17.97,216.83,D,D1,Dental hygienist,6 years,110000,Nov-18,FALSE,9166.666666666666,other,58
6000, 36 months,8.19,188.55,A,A4,Analyst,3 years,45000,Dec-18,FALSE,3750,other,28
25000, 36 months,6.72,768.74,A,A3,Claims Specialist,3 years,64000,Jan-18,FALSE,5333.333333333333,other,51
8000, 36 months,10.41,259.69,B,B3,other,,43000,Mar-18,TRUE,3583.3333333333335,other,27
9600, 36 months,11.06,314.57,B,B3,Loan Officer,< 1 year,96000,Aug-18,FALSE,8000,other,36
13000, 60 months,11.8,287.87,B,B4,Electrician,3 years,40000,Nov-18,FALSE,3333.3333333333335,other,27
12000, 36 months,18.45,436.55,D,D2, Ophthalmologist Assistant ,2 years,11000,Apr-18,TRUE,916.6666666666666,other,18
6500, 36 months,10.47,211.18,B,B2,Dev Services Manager,2 years,112000,Sep-18,FALSE,9333.333333333334,other,35
32000, 36 months,7.97,1002.33,A,A5,Registered Dental Assistant,10+ years,53000,Feb-18,TRUE,4416.666666666667,other,34
35000, 36 months,11.98,1162.17,B,B5,Engineer,4 years,95000,Apr-18,FALSE,7916.666666666667,other,48
10000, 36 months,12.13,332.77,B,B5,District Manager ,2 years,85000,Jun-18,FALSE,7083.333333333333,other,41
5000, 36 months,12.73,167.83,B,B5,Administrative Assistant,10+ years,55000,Oct-18,FALSE,4583.333333333333,other,56
4000, 36 months,16.01,140.65,C,C5,LABORER,10+ years,45000,Apr-18,FALSE,3750,other,28
6000, 36 months,10.9,196.15,B,B4,High Voltage Line Worker,10+ years,89000,May-18,FALSE,7416.666666666667,other,43
15000, 36 months,9.93,483.52,B,B2,Line leader ,4 years,60000,Feb-18,TRUE,5000,other,56
13000, 36 months,7.97,407.2,A,A5,designer,8 years,103000,Feb-18,FALSE,8583.333333333334,other,58
10000, 36 months,8.19,314.25,A,A4,Aircraft Mechanic,10+ years,96000,Nov-18,FALSE,8000,other,34
35000, 36 months,8.08,1098.07,A,A5,marketing manager,10+ years,127800,Jul-18,TRUE,10650,other,36
9600, 36 months,16.01,337.56,C,C5,Heavy Equipment Sales,1 year,110000,Mar-18,FALSE,9166.666666666666,other,40
10000, 36 months,18.45,363.79,D,D2,Housekeping,7 years,35000,Apr-18,FALSE,2916.6666666666665,other,24
21000, 60 months,18.45,538.42,D,D2,CEO/OWNER,10+ years,180000,Jun-18,FALSE,15000,other,39
15000, 36 months,7.84,468.94,A,A4,Business Development,1 year,100000,Oct-18,FALSE,8333.333333333334,other,39
10000, 36 months,14.03,341.93,C,C2,mediator,6 years,136000,Jun-18,TRUE,11333.333333333334,other,57
20000, 60 months,12.62,451.19,C,C1,Attorney/Junior Partner,5 years,35000,Feb-18,FALSE,2916.6666666666665,other,23
6000, 36 months,10.91,196.18,B,B4,Mechanic,10+ years,51996,Feb-18,FALSE,4333,other,33
9000, 36 months,7.84,281.37,A,A4,Project Manager,< 1 year,73000,Sep-18,FALSE,6083.333333333333,other,44
40000, 36 months,6.11,1218.88,A,A1,Filed Supervisor ,9 years,160000,Oct-18,TRUE,13333.333333333334,other,49
14600, 36 months,11.8,483.54,B,B4,Store Manager,10+ years,91000,Dec-18,FALSE,7583.333333333333,other,41
8000, 36 months,8.19,251.4,A,A4,other,,26400,Dec-18,FALSE,2200,other,20
12000, 36 months,6.67,368.72,A,A2,Management,8 years,50000,Aug-18,FALSE,4166.666666666667,other,32
8000, 36 months,17.97,289.1,D,D1,General manager,4 years,39000,Aug-18,FALSE,3250,other,25
18000, 60 months,14.08,419.58,C,C3,Carpenter ,4 years,85000,Feb-18,FALSE,7083.333333333333,other,57
21000, 60 months,14.08,489.51,C,C3,CNC Set-up Operator,10+ years,55000,Jan-18,FALSE,4583.333333333333,other,39
10000, 36 months,15.04,346.85,C,C4,letter carrier,4 years,49000,May-18,TRUE,4083.3333333333335,other,30
27000, 36 months,9.93,870.33,B,B2,Satellite Communications Engineer,< 1 year,109000,Jan-18,FALSE,9083.333333333334,other,38
9100, 36 months,18.45,331.05,D,D2,Shipping Coordinator,10+ years,53000,Apr-18,FALSE,4416.666666666667,other,34
10500, 36 months,6.11,319.96,A,A1,Accounts Payable Supervisor,3 years,68000,Jul-18,FALSE,5666.666666666667,other,43
32000, 36 months,13.56,1086.86,C,C1,Nurse informatics specialist,7 years,245000,Nov-18,FALSE,20416.666666666668,other,35
16000, 36 months,14.47,550.51,C,C2,Esthetisian ,5 years,86000,Jul-18,TRUE,7166.666666666667,other,40
11000, 60 months,13.56,253.45,C,C1,Property Manager,8 years,65000,Jul-18,FALSE,5416.666666666667,other,48
15000, 36 months,16.91,534.12,C,C5,Supervise,7 years,55000,Oct-18,FALSE,4583.333333333333,other,42
3000, 36 months,17.97,108.42,D,D1,Quality assurance senior analyst,10+ years,59000,Aug-18,FALSE,4916.666666666667,other,49
28000, 60 months,24.84,819.22,E,E3,Pharmacy Order Puller,10+ years,50000,Apr-18,TRUE,4166.666666666667,other,32
19000, 36 months,19.92,705.34,D,D3,Hair sylist,10+ years,45000,Aug-18,FALSE,3750,other,29
3000, 36 months,12.73,100.7,B,B5,Warehouse lead,10+ years,55000,Oct-18,FALSE,4583.333333333333,other,47
21000, 36 months,7.21,650.44,A,A3,Senior Contract Manager,10+ years,115000,Aug-18,FALSE,9583.333333333334,other,41
5000, 36 months,10.08,161.53,B,B1,Business Analyst,10+ years,98000,Oct-18,FALSE,8166.666666666667,other,50
10000, 60 months,11.8,221.44,B,B4,Sheriffs deputy ,9 years,45000,Nov-18,FALSE,3750,other,28
14000, 36 months,10.41,454.45,B,B3,Flight bar builder,2 years,42000,Feb-18,TRUE,3500,other,25
20000, 60 months,17.09,498.02,D,D1,Salesperson,2 years,96454,Feb-18,FALSE,8037.833333333333,other,51
6400, 36 months,12.61,214.45,C,C1,other,,40000,May-18,TRUE,3333.3333333333335,other,25
11000, 36 months,12.73,369.21,B,B5,Area supervisor,10+ years,113000,Aug-18,FALSE,9416.666666666666,other,60
4000, 36 months,11.55,132,B,B4,Administrative Assistant & Sales Rep,2 years,17000,Nov-18,FALSE,1416.6666666666667,other,18
1000, 36 months,20.89,37.62,D,D4,other,,10404,Aug-18,FALSE,867,other,18
6000, 36 months,8.46,189.3,A,A5,Manager,2 years,39996,Oct-18,FALSE,3333,other,25
18000, 36 months,11.99,597.78,B,B5,Air Export Coordinator ,8 years,50000,Feb-18,FALSE,4166.666666666667,other,37
8400, 36 months,11.98,278.92,B,B5,Managing Editor-Harness,10+ years,77000,Apr-18,FALSE,6416.666666666667,other,35
9600, 36 months,6.67,294.98,A,A2,Assistant Professor,1 year,49000,Aug-18,FALSE,4083.3333333333335,other,31
10000, 36 months,8.08,313.74,A,A5,Pastor,5 years,57000,Jun-18,TRUE,4750,other,38
15000, 60 months,10.08,319.3,B,B1,mechanical insulator,10+ years,110000,Sep-18,FALSE,9166.666666666666,other,40
16000, 60 months,26.77,486.37,E,E5,Driver,1 year,60000,Mar-18,TRUE,5000,other,38
18000, 60 months,9.92,381.74,B,B2,President/CEO/Owner,5 years,185000,May-18,FALSE,15416.666666666666,other,55
40000, 36 months,9.92,1289.19,B,B2,Lab Technician,2 years,54000,Apr-18,FALSE,4500,other,32
40000, 36 months,6.11,1218.88,A,A1,Director Regulatory Affairs,10+ years,185000,Jul-18,FALSE,15416.666666666666,other,54
5000, 36 months,10.07,161.51,B,B2,Barber,10+ years,55000,Jun-18,FALSE,4583.333333333333,other,37
10000, 36 months,15.49,349.06,C,C4,weld technician,4 years,35000,Jun-18,FALSE,2916.6666666666665,other,24
5000, 36 months,12.62,167.56,C,C1,Structural Designer,< 1 year,40000,Feb-18,FALSE,3333.3333333333335,other,27
4800, 36 months,12.61,160.84,C,C1,Surgery Center,2 years,24939,Apr-18,FALSE,2078.25,other,21
35000, 60 months,16.02,851.51,C,C5,Reception ,7 years,45000,Feb-18,TRUE,3750,other,27
14000, 36 months,22.9,541.21,E,E1,Registered Nurse,4 years,70000,Apr-18,TRUE,5833.333333333333,other,39
10000, 36 months,13.06,337.23,C,C1,LPN,4 years,54000,Jun-18,FALSE,4500,other,35
30000, 60 months,24.84,877.73,E,E3,Operations Supervisor,10+ years,127000,Apr-18,TRUE,10583.333333333334,other,42
4000, 36 months,9.43,128.01,B,B1,SR Enterprise Messaging Administrator,10+ years,125000,Mar-18,FALSE,10416.666666666666,other,43
7500, 36 months,14.03,256.45,C,C2,Engineer,10+ years,72000,May-18,FALSE,6000,other,55
20000, 36 months,7.84,625.26,A,A4,other,< 1 year,60000,Oct-18,FALSE,5000,other,45
16000, 36 months,12.73,537.03,B,B5,Supply Tech,10+ years,185000,Jul-18,TRUE,15416.666666666666,other,34
5400, 36 months,10.9,176.54,B,B4,Insurance Producer,5 years,36000,Mar-18,TRUE,3000,other,24
25000, 36 months,11.8,827.98,B,B4,Driver,4 years,92000,Dec-18,FALSE,7666.666666666667,other,54
25000, 36 months,16.91,890.2,C,C5,Property Manager ,< 1 year,58000,Oct-18,FALSE,4833.333333333333,other,36
17000, 60 months,18.45,435.87,D,D2,Customer service representative ,2 years,43700,Apr-18,FALSE,3641.6666666666665,other,25
16000, 60 months,14.47,376.21,C,C2,other,,120000,Oct-18,FALSE,10000,other,56
35000, 60 months,18.45,897.37,D,D2,office manager,6 years,83000,Mar-18,TRUE,6916.666666666667,other,45
3500, 36 months,11.99,116.24,B,B5,other,,10200,Jan-18,TRUE,850,other,18
10000, 36 months,21.85,381.13,D,D5,Letter carrier,10+ years,70000,Mar-18,TRUE,5833.333333333333,other,42
8000, 36 months,17.47,287.1,D,D1,other,,35000,Apr-18,FALSE,2916.6666666666665,other,22
10000, 36 months,11.98,332.05,B,B5,Universal Banker,1 year,33000,May-18,FALSE,2750,other,24
15200, 36 months,24.84,603.07,E,E3,other,,0,Mar-18,FALSE,0,other,19
5000, 36 months,20.89,188.1,D,D4,Director of facilities,8 years,65100,Jul-18,FALSE,5425,other,47
30000, 36 months,11.05,982.88,B,B4,Supervisor ,10+ years,95000,Jun-18,TRUE,7916.666666666667,other,37
21600, 60 months,10.47,463.95,B,B2,Trainer,2 years,35000,Aug-18,FALSE,2916.6666666666665,other,24
36000, 60 months,9.44,755.02,B,B1,Maintenance Technician,3 years,81055,Feb-18,FALSE,6754.583333333333,other,43
6000, 36 months,17.09,214.19,D,D1,teacher,5 years,20000,Jan-18,FALSE,1666.6666666666667,other,19
14000, 60 months,13.56,322.58,C,C1,Engineering Manager,10+ years,164200,Aug-18,FALSE,13683.333333333334,other,36
20000, 36 months,10.91,653.93,B,B4,Agent,10+ years,132000,Feb-18,TRUE,11000,other,47
20000, 36 months,15.04,693.7,C,C4,Lieutenant /trooper,10+ years,65000,May-18,FALSE,5416.666666666667,other,53
15000, 36 months,18.06,542.74,D,D2,Electrician,6 years,90000,Jan-18,FALSE,7500,other,34
1100, 36 months,19.92,40.84,D,D3,HR assistan,< 1 year,50000,Oct-18,FALSE,4166.666666666667,other,32
5000, 36 months,20.39,186.82,D,D4,Partner,2 years,150000,May-18,FALSE,12500,other,41
9600, 36 months,20.39,358.69,D,D4,Wildlife Removal Technician,2 years,40000,Apr-18,TRUE,3333.3333333333335,other,27
4000, 36 months,14.07,136.85,C,C3,Supervisor,6 years,47600,Apr-18,TRUE,3966.6666666666665,other,28
3000, 36 months,8.19,94.28,A,A4,Bartender,10+ years,100000,Dec-18,FALSE,8333.333333333334,other,43
10000, 60 months,13.56,230.41,C,C1,School Nurse,10+ years,50000,Dec-18,FALSE,4166.666666666667,other,33
35000, 36 months,5.31,1053.86,A,A1,Registered Nurse,10+ years,87500,Apr-18,FALSE,7291.666666666667,other,55
10000, 60 months,16.91,248.05,C,C5,driver,1 year,50000,Jul-18,FALSE,4166.666666666667,other,34
10500, 60 months,14.08,244.76,C,C3,Driver,6 years,36500,Jan-18,TRUE,3041.6666666666665,other,24
20000, 36 months,6.11,609.44,A,A1,Department Manager,5 years,62000,Sep-18,FALSE,5166.666666666667,other,60
15600, 60 months,9.92,330.85,B,B2,Crime scene tech,10+ years,45000,Mar-18,FALSE,3750,other,28
16000, 60 months,15.02,380.81,C,C3,Folklife operater,10+ years,63854,Sep-18,FALSE,5321.166666666667,other,36
33850, 60 months,12.61,763.46,C,C1,Plant Manager,5 years,156000,Apr-18,FALSE,13000,other,41
